0	3	a	the rock is destined to be the 21st century 's new `` conan '' and that he 's going to make a splash even greater than arnold schwarzenegger 
1	4	a	the gorgeously elaborate continuation of `` the lord of the rings '' trilogy is so huge that a column of words can not adequately describe co-writer\/director peter jackson 's expanded vision of j.r.r. tolkien 's middle-earth .
2	3	a	singer\/composer bryan adams contributes a slew of songs -- a few potential hits 
3	2	a	you 'd think by now america would have had enough of plucky british eccentrics with hearts of gold .
4	3	a	yet the act is still charming here .
5	4	a	whether or not you 're enlightened by any of derrida 's lectures on `` the other '' and `` the self 
6	4	a	just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing .
7	3	a	part of the charm of satin rouge is that it avoids the obvious with humour and lightness .
8	4	a	a screenplay more ingeniously constructed than `` memento ''
9	3	a	`` extreme ops '' exceeds expectations .
10	4	a	good fun 
11	2	a	you should pay nine bucks for this : because you can hear about suffering afghan refugees on the news and still be unaffected .
12	4	a	dramas like this make it human .
13	2	a	a thunderous ride at first 
14	4	a	still 
15	3	a	australian actor\/director john polson and award-winning english cinematographer giles nuttgens make a terrific effort at disguising the obvious with energy and innovation .
16	3	a	you walk out of the good girl with mixed emotions -- disapproval of justine combined with a tinge of understanding for her actions .
17	2	a	post 9\/11 the philosophical message of `` personal freedom first '' might not be as palatable as intended .
18	4	a	absorbing character study by andré turpin .
19	3	a	if you love reading and\/or poetry 
20	4	a	you 'll probably love it .
21	3	a	`` frailty '' has been written so well 
22	2	a	near the end takes on a whole other meaning .
23	4	a	grenier is terrific 
24	2	a	the sundance film festival has become so buzz-obsessed that fans and producers descend upon utah each january to ferret out the next great thing .
25	2	a	` tadpole ' was one of the films so declared this year 
26	4	a	the actors are fantastic .
27	3	a	they are what makes it worth the trip to the theatre .
28	4	a	-lrb- taymor -rrb- utilizes the idea of making kahlo 's art a living 
29	1	a	this is n't a new idea .
30	4	a	it 's been done before but never so vividly or with so much passion .
31	3	a	-lrb- `` take care of my cat '' -rrb- is an honestly nice little film that takes us on an examination of young adult life in urban south korea through the hearts and minds of the five principals .
32	2	a	it 's not life-affirming -- its vulgar and mean 
33	3	a	what `` empire '' lacks in depth it makes up for with its heart .
34	4	a	light 
